Component,Quantity,Description,Part Number,Link,Unit Price (USD),Individual Cost (USD),NJ Tax (6.625%),Total Cost (USD),Running Total (USD)
MGN12H Linear Rail,3,300mm 12mm Linear Guide,MGN12H-300mm,https://www.aliexpress.com/item/1005001234567890/,24.08,72.24,4.79,77.03,77.03
MGN9 Linear Rail,1,200mm 9mm Linear Guide,MGN9-200mm,https://www.aliexpress.com/item/1005001234567890/,6.99,6.99,0.46,7.45,84.48
20x40 Aluminum Extrusion,1,320.2mm 20 Series,2040-320mm,https://www.misumi-ec.com/vona2/detail/110302253830/,5.85,5.85,0.39,6.24,90.72
40x40 Aluminum Extrusion,2,380mm 40 Series,4040-380mm,https://www.misumi-ec.com/vona2/detail/110302253830/,9.91,19.82,1.31,21.13,111.85
40x40 Aluminum Extrusion,2,300mm 40 Series,4040-300mm,https://www.misumi-ec.com/vona2/detail/110302253830/,7.83,15.66,1.04,16.70,128.55
GT2 Pulley,2,20 Teeth Timing Pulley,GT2-20T,https://www.aliexpress.com/item/1005001234567890/,0.65,1.30,0.09,1.39,129.94
Idler Pulley,1,Belt Idler Assembly,Idler-Assembly,https://www.aliexpress.us/item/3256808965537800.html,9.44,9.44,0.63,10.07,140.01
NEMA 17 Stepper Motor,2,42ncm 1.5A 4-lead,NEMA17-42ncm,https://www.aliexpress.com/item/1005001234567890/,3.25,6.50,0.43,6.93,146.94
GT2 Belt,1,Timing Belt 2m,GT2-2m,https://www.aliexpress.us/item/3256805030553800.html,5.78,5.78,0.38,6.16,153.10
ABS Filament,1,3D Printing Material,ABS-1kg,https://www.amazon.com/dp/B00WX5TGFU,22.99,22.99,1.52,24.51,177.61
Raspberry Pi Zero 2 W,1,Single Board Computer,RPI-Zero-2-W,https://www.amazon.com/dp/B0DB2JBD9C,19.99,19.99,1.32,21.31,198.92
Mean Well LRS-350-24,1,24V 350W Power Supply,LRS-350-24,https://www.aliexpress.com/item/1005001234567890/,18.77,18.77,1.24,20.01,218.93
BTT SKR Mini E3 V3.0,1,3D Printer Mainboar,SKR-Mini-E3-V3,https://www.aliexpress.com/item/1005001234567890/,33.66,33.66,2.23,35.89,254.82 
Nema 14,1,Toolhead Motor,Nema-14,Already Owned,0,0,0,0,254.82
